OrderNum,OrderDate,OrderType,CustomerType,CustName,CustCountry,CustCity,ProdCategory,ProdNumber,ProdName,Quantity, Price , Discount , Total Cost 
1100951,3/9/2017,Wholesale,Business,Treutel Group,Morocco,Galaz,Drone Kits,DK209,BYOD-550,27, $ 179.00 , $ 35.80 ," $ 4,797.20 "
1100952,3/9/2017,Wholesale,Business,Oberbrunner Inc.,Egypt,Bani Mazar,eBooks,EB521,Understanding Artificial Intelligence,5, $ 19.50 , $ 3.90 , $ 93.60 
1100953,4/9/2017,Wholesale,Business,Clever Industries,Morocco,Bounaamane,Drone Kits,DK209,BYOD-550,5, $ 179.00 , $ 35.80 , $ 859.20 
1100954,4/9/2017,Wholesale,Business,Nikolaus LLC,Algeria,Toudja,Blueprints,BP106,Hexacopter Drone Blueprint,7, $ 8.99 , $ 1.80 , $ 61.13 
1100955,4/9/2017,Wholesale,Business,Wyman Institute,Syria,Ar Rastan,Blueprints,BP108,Panda Robot Blueprint,5, $ 7.99 , $ 1.60 , $ 38.35 
1100956,4/9/2017,Retail,Individual,Iseabal Vevers,Egypt,As Sallum,Training Videos,TV811,Understanding Drone Regulations,1, $ 27.50 , 0 , $ 27.50 
1100957,4/9/2017,Retail,Individual,Morgan Kassman,Syria,Manbij,Robots,RS707,RXW-9807 Robot,1, $ 599.00 , 0 , $ 599.00 
1100958,4/9/2017,Wholesale,Business,Bednar IT Inc.,Morocco,Setti Fatma,Drone Kits,DK201,BYOD-100,9, $ 54.00 , $ 10.80 , $ 475.20 
1100959,4/9/2017,Wholesale,Business,Johnson LLC,Morocco,Tamgrout,Training Videos,TV806,Mapping with Drones,12, $ 49.00 , $ 9.80 , $ 578.20 
1100960,4/9/2017,Wholesale,Business,Frami LLC,Morocco,Inezgane,Drone Kits,DK206,BYOD-400,92, $ 119.00 , $ 23.80 ," $ 10,924.20 "
1100961,5/9/2017,Retail,Individual,Chrystel Tozer,Morocco,Amersid,Training Videos,TV810,Understanding Automation,1, $ 44.95 , 0 , $ 44.95 
1100962,5/9/2017,Wholesale,Business,Abshire Inc.,Egypt,Samalut,Drone Kits,DK204,BYOD-300,6, $ 89.00 , $ 17.80 , $ 516.20 
1100963,5/9/2017,Wholesale,Business,Stehr Group,Syria,As Sukhnah,Drones,DS301,DA-SA702 Drone,3, $ 399.00 , $ 79.80 ," $ 1,117.20 "
1100964,5/9/2017,Retail,Individual,Godfry Dancy,Egypt,Rosetta,eBooks,EB514,Polar Robots,1, $ 23.99 , 0 , $ 23.99 
1100965,5/9/2017,Retail,Individual,Gwendolyn Tromp,Morocco,Bni Khloug,Drone Kits,DK204,BYOD-300,3, $ 89.00 , 0 , $ 267.00 
1100966,6/9/2017,Retail,Individual,Klarrisa Dunlap,Morocco,Alnif,eBooks,EB513,Photograph Drones,1, $ 14.99 , 0 , $ 14.99 
1100967,6/9/2017,Retail,Individual,Karney Becks,Egypt,Kafr ash Shaykh,Blueprints,BP101,All Eyes Drone Blueprint,1, $ 9.99 , 0 , $ 9.99 
1100968,6/9/2017,Retail,Individual,Richy Dews,Morocco,Sidi Mohamed Lahmar,Robot Kits,RK606,BYOR-3535,1, $ 225.00 , 0 , $ 225.00 
1100969,6/9/2017,Retail,Individual,Raimondo Goretti,Morocco,Ksebia,Drones,DS307,MICR-564K Drone,1, $ 499.00 , 0 , $ 499.00 
1100970,6/9/2017,Retail,Individual,Rebeca Overington,Morocco,Bni Gmil,Blueprints,BP106,Hexacopter Drone Blueprint,1, $ 8.99 , 0 , $ 8.99 
1100971,6/9/2017,Wholesale,Business,Hettinger and Sons,Kuwait,Kuwait City,Drones,DS306,DX-145 Drone,12, $ 250.00 , $ 50.00 ," $ 2,950.00 "
1100972,6/9/2017,Retail,Individual,Joya Mountstephen,Morocco,Tnine Sidi Lyamani,Drone Kits,DK204,BYOD-300,1, $ 89.00 , 0 , $ 89.00 
1100973,6/9/2017,Retail,Individual,Modesta Brissenden,Morocco,Ghafsai,eBooks,EB521,Understanding Artificial Intelligence,1, $ 19.50 , 0 , $ 19.50 
1100974,6/9/2017,Wholesale,Business,Corkery International ,Morocco,Amtar,Drone Kits,DK204,BYOD-300,81, $ 89.00 , $ 17.80 ," $ 7,191.20 "
1100975,7/9/2017,Wholesale,Business,Corkery International ,Saudi Arabia,Al Bahah,Drones,DS302,DC-304 Drone,3, $ 395.00 , $ 79.00 ," $ 1,106.00 "
1100976,7/9/2017,Wholesale,Business,Feest Inc.,Morocco,Safsaf,Blueprints,BP101,All Eyes Drone Blueprint,7, $ 9.99 , $ 2.00 , $ 67.93 
1100977,7/9/2017,Retail,Individual,Cordelia Aspland,Morocco,Bou Izakarn,eBooks,EB513,Photograph Drones,1, $ 14.99 , 0 , $ 14.99 
1100978,7/9/2017,Wholesale,Business,Daugherty Group,Morocco,Bni Hadifa,Robot Kits,RK605,BYOR-3000,9, $ 214.00 , $ 42.80 ," $ 1,883.20 "
1100979,7/9/2017,Retail,Individual,Geremy Krajcik,Morocco,Tleta Taghramt,Robot Kits,RK606,BYOR-3535,1, $ 225.00 , 0 , $ 225.00 
1100980,8/9/2017,Wholesale,Business,Howe LLC,Iraq,Zakhu,Blueprints,BP104,Cat Robot Blueprint,8, $ 4.99 , $ 1.00 , $ 38.92 
1100981,8/9/2017,Wholesale,Business,Schuppe Inc.,Morocco,Mhamid el Rhozlane,eBooks,EB514,Polar Robots,12, $ 23.99 , $ 4.80 , $ 283.08 
1100982,8/9/2017,Wholesale,Business,Kiehn LLC,Morocco,Oulad Amrane el Mekki,Training Videos,TV808,Robotic Essentials,6, $ 34.99 , $ 7.00 , $ 202.94 
1100983,8/9/2017,Retail,Business,Legros Inc.,Morocco,Aj Jourf,eBooks,EB514,Polar Robots,24, $ 23.99 , 0 , $ 575.76 
1100984,9/9/2017,Wholesale,Business,Kutch Inc.,Algeria,Ouled Moussa,Training Videos,TV808,Robotic Essentials,10, $ 34.99 , $ 7.00 , $ 342.90 
1100985,9/9/2017,Retail,Individual,Hazlett Berisford,Syria,Shaykh al Hadid,Blueprints,BP107,Ladybug Robot Blueprint,1, $ 12.00 , 0 , $ 12.00 
1100986,9/9/2017,Wholesale,Business,Fahey Forever Inc..,Morocco,Mechraa Bel Ksiri,Blueprints,BP107,Ladybug Robot Blueprint,11, $ 12.00 , $ 2.40 , $ 129.60 
1100987,9/9/2017,Wholesale,Business,Reilly LLC,Morocco,Guelmim,Training Videos,TV806,Mapping with Drones,11, $ 49.00 , $ 9.80 , $ 529.20 
1100988,9/9/2017,Wholesale,Business,Beahan Inc.,Morocco,Oulad Amghar,eBooks,EB509,GPS Drones,11, $ 19.99 , $ 4.00 , $ 215.89 
1100989,9/9/2017,Wholesale,Business,Kassulke-Schneider,Morocco,Ratba,Training Videos,TV804,Drone Video Techniques,3, $ 37.99 , $ 7.60 , $ 106.37 
1100990,10/9/2017,Retail,Individual,Ezekiel Sawney,Morocco,Azemmour,Blueprints,BP105,Creature Robot Arms Blueprint ,1, $ 12.00 , 0 , $ 12.00 
1100991,10/9/2017,Retail,Individual,Harvey Gottlieb,Morocco,Marrakech,Training Videos,TV813,Virtual Reality Basics,1, $ 29.99 , 0 , $ 29.99 
1100992,10/9/2017,Retail,Individual,Todd Gleichner,Morocco,Ait Athmane,Robot Kits,RK603,BYOR-1500,3, $ 189.00 , 0 , $ 567.00 
1100993,10/9/2017,Retail,Individual,Jaime Gilling,Syria,Jaramana,Robots,RS702,MICR-23K Robot,1, $ 899.00 , 0 , $ 899.00 
1100994,10/9/2017,Wholesale,Business,Zemlak Inc.,Saudi Arabia,Al Khubar,Drones,DS303,DTD-7000 Drone,8, $ 450.00 , $ 90.00 ," $ 3,510.00 "
1100995,10/9/2017,Wholesale,Business,Romaguera LLC,Algeria,'Ain Arnat,Robot Kits,RK603,BYOR-1500,22, $ 189.00 , $ 37.80 ," $ 4,120.20 "
1100996,11/9/2017,Wholesale,Business,Koss Industries,Egypt,Shibin al Kawm,Blueprints,BP102,Bsquare Robot Blueprint,6, $ 8.99 , $ 1.80 , $ 52.14 
1100997,11/9/2017,Wholesale,Business,Boehm Inc.,Morocco,Lamsabih,Blueprints,BP104,Cat Robot Blueprint,13, $ 4.99 , $ 1.00 , $ 63.87 
1100998,11/9/2017,Retail,Individual,Luz O'Donoghue,Syria,Umm Walad,Training Videos,TV809,Understanding 3D Printing,1, $ 42.99 , 0 , $ 42.99 
1100999,11/9/2017,Wholesale,Business,Nolan Inc.,Morocco,Arbaoua,Drone Kits,DK209,BYOD-550,89, $ 179.00 , $ 35.80 ," $ 15,895.20 "
1101000,11/9/2017,Retail,Individual,Paula Muller,Morocco,Sidi Yahya Zaer,eBooks,EB513,Photograph Drones,1, $ 14.99 , 0 , $ 14.99 
1101001,11/9/2017,Wholesale,Business,Nikolaus LLC,Algeria,Moudjbara,Drone Kits,DK209,BYOD-550,104, $ 179.00 , $ 35.80 ," $ 18,580.20 "
1101002,11/9/2017,Wholesale,Business,Wolff LLC,Morocco,Ez Zinat,Training Videos,TV808,Robotic Essentials,8, $ 34.99 , $ 7.00 , $ 272.92 
1101003,11/9/2017,Retail,Individual,Caty Howler,Morocco,Sabbah,Blueprints,BP102,Bsquare Robot Blueprint,1, $ 8.99 , 0 , $ 8.99 
1101004,12/9/2017,Retail,Individual,Ilaire Selvester,Egypt,Siwah,Blueprints,BP106,Hexacopter Drone Blueprint,1, $ 8.99 , 0 , $ 8.99 
1101005,12/9/2017,Retail,Individual,Ariadne Bohan,Morocco,Oulad Ben Sebbah,Training Videos,TV801,Aerial Security,1, $ 36.99 , 0 , $ 36.99 
1101006,12/9/2017,Wholesale,Business,Hilpert Industries,Morocco,Adassil,eBooks,EB509,GPS Drones,13, $ 19.99 , $ 4.00 , $ 255.87 
1101007,12/9/2017,Wholesale,Business,Kassulke-Schneider,Morocco,Oulad Ouchchih,eBooks,EB502,Building Your First Robot,3, $ 24.95 , $ 4.99 , $ 69.86 
1101008,12/9/2017,Retail,Individual,Tamqrah Carrane,Syria,Jasim,eBooks,EB507,Drone Building Essentials,1, $ 13.99 , 0 , $ 13.99 
1101009,12/9/2017,Wholesale,Business,Pixelford Photography,Morocco,Lamzoudia,Robot Kits,RK603,BYOR-1500,3, $ 189.00 , $ 37.80 , $ 529.20 
1101010,12/9/2017,Retail,Individual,Staford Antoniak,Algeria,Tlemcen,Training Videos,TV804,Drone Video Techniques,1, $ 37.99 , 0 , $ 37.99 
1101011,12/9/2017,Retail,Individual,Donielle Bumpass,Kuwait,Al Jahra',Training Videos,TV801,Aerial Security,1, $ 36.99 , 0 , $ 36.99 
1101012,12/9/2017,Retail,Individual,Jody Neggrini,Morocco,Bghaghza,Drone Kits,DK203,BYOD-220,1, $ 69.00 , 0 , $ 69.00 
1101013,13/9/2017,Wholesale,Business,Vandervort LLC,Iraq,Az Zubayr,Training Videos,TV813,Virtual Reality Basics,10, $ 29.99 , $ 6.00 , $ 293.90 
1101014,13/9/2017,Retail,Individual,Elisabet Sproat,Morocco,Aghbalou n'Kerdous,Robot Kits,RK605,BYOR-3000,1, $ 214.00 , 0 , $ 214.00 
1101015,13/9/2017,Wholesale,Business,Rosenbaum LLC,Morocco,Oulad 'Azzouz,Drones,DS306,DX-145 Drone,13, $ 250.00 , $ 50.00 ," $ 3,200.00 "
1101016,13/9/2017,Wholesale,Business,Blick Inc.,Morocco,Nkheila,Drone Kits,DK204,BYOD-300,4, $ 89.00 , $ 17.80 , $ 338.20 
1101017,13/9/2017,Retail,Individual,Chrisse Logesdale,Saudi Arabia,At Ta'if,Training Videos,TV808,Robotic Essentials,1, $ 34.99 , 0 , $ 34.99 
1101018,13/9/2017,Wholesale,Business,Daugherty Group,Morocco,Oulad Friha,Robot Kits,RK602,BYOR-1000,44, $ 189.00 , $ 37.80 ," $ 8,278.20 "
1101019,13/9/2017,Wholesale,Business,Thiel Group,Algeria,I-n-Amenas,Drone Kits,DK206,BYOD-400,67, $ 119.00 , $ 23.80 ," $ 7,949.20 "
1101020,14/9/2017,Retail,Individual,Kenny Decroix,Saudi Arabia,Al Mubarraz,Blueprints,BP107,Ladybug Robot Blueprint,1, $ 12.00 , 0 , $ 12.00 
1101021,14/9/2017,Retail,Individual,Courtenay Attle,Morocco,Tawnza,Robot Kits,RK603,BYOR-1500,2, $ 189.00 , 0 , $ 378.00 
1101022,14/9/2017,Retail,Individual,Allyn Palatino,Morocco,Oulad Aissa,Training Videos,TV809,Understanding 3D Printing,1, $ 42.99 , 0 , $ 42.99 
1101023,14/9/2017,Retail,Individual,Mellie Vasyatkin,Algeria,Bordj Mokhtar,eBooks,EB507,Drone Building Essentials,1, $ 13.99 , 0 , $ 13.99 
1101024,14/9/2017,Retail,Individual,Boycey Binford,Iraq,Al Hayy,eBooks,EB509,GPS Drones,1, $ 19.99 , 0 , $ 19.99 
1101025,14/9/2017,Retail,Individual,Vernen Dodswell,Algeria,Tindouf,Drones,DS306,DX-145 Drone,1, $ 250.00 , 0 , $ 250.00 
1101026,15/9/2017,Wholesale,Business,Harris Inc.,Iraq,Sinjar,Drone Kits,DK206,BYOD-400,8, $ 119.00 , $ 23.80 , $ 928.20 
1101027,15/9/2017,Retail,Individual,Germaine Silk,Morocco,Skhour Rehamna,eBooks,EB507,Drone Building Essentials,1, $ 13.99 , 0 , $ 13.99 
1101028,15/9/2017,Wholesale,Business,Torp Inc.,Algeria,Naciria,eBooks,EB520,Understanding Arduino,9, $ 17.50 , $ 3.50 , $ 154.00 
1101029,15/9/2017,Wholesale,Business,Kuvalis Group,Morocco,Imilchil,Blueprints,BP109,QuadroCopter Blueprint ,7, $ 10.99 , $ 2.20 , $ 74.73 
1101030,15/9/2017,Wholesale,Business,Blue Sky Kites,Morocco,Tahla,Training Videos,TV808,Robotic Essentials,10, $ 34.99 , $ 7.00 , $ 342.90 
1101031,15/9/2017,Retail,Individual,Leopold Mallindine,Morocco,Zeghanghane,eBooks,EB517,SCARA Robots,1, $ 19.50 , 0 , $ 19.50 
1101032,15/9/2017,Wholesale,Business,Streich LLC,Morocco,Agadir,eBooks,EB516,RTF Drones,10, $ 16.99 , $ 3.40 , $ 166.50 
1101033,15/9/2017,Wholesale,Business,Schaefer Inc.,Morocco,Dar Bel Hamri,Robot Kits,RK603,BYOR-1500,29, $ 189.00 , $ 37.80 ," $ 5,443.20 "
1101034,15/9/2017,Retail,Individual,Hui Bashirian,Syria,Al Qutaylibiyah,Robots,RS702,MICR-23K Robot,1, $ 899.00 , 0 , $ 899.00 
1101035,16/9/2017,Wholesale,Business,Gottlieb-Jenkins,Morocco,Benslimane,Drones,DS307,MICR-564K Drone,8, $ 499.00 , $ 99.80 ," $ 3,892.20 "
1101036,16/9/2017,Retail,Individual,David Powlowski,Algeria,Tissemsilt,eBooks,EB509,GPS Drones,1, $ 19.99 , 0 , $ 19.99 
1101037,16/9/2017,Wholesale,Business,Cartwright LLC,Morocco,Gourrama,Blueprints,BP105,Creature Robot Arms Blueprint ,3, $ 12.00 , $ 2.40 , $ 33.60 
1101038,16/9/2017,Wholesale,Business,Wehner and Sons,Iraq,Al Hillah,eBooks,EB503,Building Your Own Drone,7, $ 24.99 , $ 5.00 , $ 169.93 
1101039,16/9/2017,Wholesale,Business,Stoltenberg LLC,Morocco,M'diq,eBooks,EB507,Drone Building Essentials,10, $ 13.99 , $ 2.80 , $ 137.10 
1101040,16/9/2017,Retail,Business,Schiller LLC,Morocco,Timzguida Ouftas,Training Videos,TV805,Industrial 3D Printing ,3, $ 49.00 , 0 , $ 147.00 
1101041,16/9/2017,Retail,Individual,Peg Claire,Morocco,Saidat,Drones,DS306,DX-145 Drone,1, $ 250.00 , 0 , $ 250.00 
1101042,16/9/2017,Wholesale,Business,Raynor LLC,Morocco,Ait Ban,Drones,DS305,DTI-84 Drone,6, $ 455.00 , $ 91.00 ," $ 2,639.00 "
1101043,16/9/2017,Wholesale,Business,O'Kon Inc.,Morocco,Tangier,Blueprints,BP106,Hexacopter Drone Blueprint,12, $ 8.99 , $ 1.80 , $ 106.08 
1101044,16/9/2017,Wholesale,Business,Kutch Inc.,Morocco,Hassi Berkane,Training Videos,TV806,Mapping with Drones,18, $ 49.00 , $ 9.80 , $ 872.20 
1101045,16/9/2017,Retail,Individual,Nat Lang,Egypt,Qufadah,Blueprints,BP109,QuadroCopter Blueprint ,1, $ 10.99 , 0 , $ 10.99 
1101046,17/9/2017,Wholesale,Business,LMD Resources,Morocco,Recani,Drone Kits,DK203,BYOD-220,5, $ 69.00 , $ 13.80 , $ 331.20 
1101047,17/9/2017,Retail,Individual,Louis Rodriguez,Morocco,Taliwine,Blueprints,BP107,Ladybug Robot Blueprint,1, $ 12.00 , 0 , $ 12.00 
1101048,17/9/2017,Retail,Individual,Sallyann Simmank,Morocco,El Maader El Kabir,Drone Kits,DK201,BYOD-100,1, $ 54.00 , 0 , $ 54.00 
1101049,17/9/2017,Wholesale,Business,Marvin Inc.,Morocco,Tetouan,Robot Kits,RK602,BYOR-1000,11, $ 189.00 , $ 37.80 ," $ 2,041.20 "
1101050,17/9/2017,Wholesale,Business,Robel Inc.,Algeria,'Ain Roua,Training Videos,TV803,Cloud Computing,5, $ 29.99 , $ 6.00 , $ 143.95 
1101051,17/9/2017,Retail,Individual,Alaric Blanchard,Iraq,Ar Rutbah,Blueprints,BP110,Sleepy Eye Blueprint,1, $ 11.99 , 0 , $ 11.99 
1101052,17/9/2017,Wholesale,Business,Yost LLC,Morocco,Ait Hammou,eBooks,EB511,Helicopter Drones,81, $ 20.95 , $ 4.19 ," $ 1,692.76 "
1101053,18/9/2017,Wholesale,Business,Bosco Group,Algeria,Ain Sefra,Robot Kits,RK606,BYOR-3535,3, $ 225.00 , $ 45.00 , $ 630.00 
1101054,18/9/2017,Retail,Individual,Tonni Schumm,Morocco,Laqraqra,Drone Kits,DK201,BYOD-100,3, $ 54.00 , 0 , $ 162.00 
1101055,18/9/2017,Wholesale,Business,Jacobi LLC,Morocco,Douar Brarba,Drones,DS306,DX-145 Drone,6, $ 250.00 , $ 50.00 ," $ 1,450.00 "
1101056,18/9/2017,Wholesale,Business,Rath LLC,Algeria,Boumerdes,eBooks,EB521,Understanding Artificial Intelligence,10, $ 19.50 , $ 3.90 , $ 191.10 
1101057,18/9/2017,Retail,Individual,Sibyl Siret,Morocco,El Khemis des Beni Chegdal,Robot Kits,RK603,BYOR-1500,1, $ 189.00 , 0 , $ 189.00 
1101058,18/9/2017,Retail,Individual,Jessika Gaspard,Egypt,Samannud,eBooks,EB520,Understanding Arduino,1, $ 17.50 , 0 , $ 17.50 
1101059,18/9/2017,Retail,Individual,Giacobo Knightsbridge,Iraq,Umm Qasr,Robot Kits,RK603,BYOR-1500,1, $ 189.00 , 0 , $ 189.00 
1101060,19/9/2017,Wholesale,Business,Donnelly Group,Egypt,Bilbays,Robot Kits,RK606,BYOR-3535,4, $ 225.00 , $ 45.00 , $ 855.00 
1101061,19/9/2017,Wholesale,Business,Bauch Group,Egypt,Bani Suwayf,eBooks,EB503,Building Your Own Drone,11, $ 24.99 , $ 5.00 , $ 269.89 
1101062,19/9/2017,Wholesale,Business,Blue Sky Kites,Morocco,Sidi Bousber,Training Videos,TV806,Mapping with Drones,7, $ 49.00 , $ 9.80 , $ 333.20 
1101063,19/9/2017,Wholesale,Business,LMD Resources,Morocco,Tit Mellil,Blueprints,BP110,Upside Down Robot Blueprint,3, $ 12.00 , $ 2.40 , $ 33.60 
1101064,19/9/2017,Retail,Business,Kerluke Inc.,Algeria,Abalessa,Drone Kits,DK204,BYOD-300,85, $ 89.00 , 0 ," $ 7,565.00 "
1101065,19/9/2017,Retail,Individual,Goober Louw,Egypt,Damietta,Drones,DS301,DA-SA702 Drone,1, $ 399.00 , 0 , $ 399.00 
1101066,19/9/2017,Retail,Individual,Gregory Sikora,Algeria,Ain Oussera,eBooks,EB505,Delivery Drones,1, $ 14.99 , 0 , $ 14.99 
1101067,20/9/2017,Retail,Individual,Hansiain Suttaby,Morocco,Souk et Tnine Jorf el Mellah,eBooks,EB506,Delta Robots,1, $ 16.99 , 0 , $ 16.99 
1101068,20/9/2017,Retail,Individual,Madalyn Dimnage,Syria,`Afrin,eBooks,EB508,Fixed Wing Drones,1, $ 15.50 , 0 , $ 15.50 
1101069,20/9/2017,Wholesale,Business,Deckow Inc.,Morocco,Al M'aziz,eBooks,EB520,Understanding Arduino,3, $ 17.50 , $ 3.50 , $ 49.00 
1101070,20/9/2017,Wholesale,Business,Zoo Technologies,Algeria,El Main,Blueprints,BP108,Panda Robot Blueprint,8, $ 7.99 , $ 1.60 , $ 62.32 
1101071,20/9/2017,Wholesale,Business,Donnelly Group,Morocco,Al Fqih Ben Calah,eBooks,EB501,Articulated Robots,9, $ 23.99 , $ 4.80 , $ 211.11 
1101072,20/9/2017,Retail,Individual,Corey Flecknoe,Iraq,Hammam al `Alil,Blueprints,BP109,QuadroCopter Blueprint ,1, $ 10.99 , 0 , $ 10.99 
1101073,20/9/2017,Retail,Individual,Ellen Braun,Morocco,Al Hoceima,Training Videos,TV808,Robotic Essentials,1, $ 34.99 , 0 , $ 34.99 
1101074,21/9/2017,Retail,Individual,Romain Roston,Morocco,Tafraoutane,Drone Kits,DK201,BYOD-100,1, $ 54.00 , 0 , $ 54.00 
1101075,21/9/2017,Retail,Individual,Peter Grimes,Morocco,Reggada,Training Videos,TV806,Mapping with Drones,1, $ 49.00 , 0 , $ 49.00 
1101076,22/9/2017,Wholesale,Business,The Orn Company,Syria,Al Qamishli,Drones,DS301,DA-SA702 Drone,7, $ 399.00 , $ 79.80 ," $ 2,713.20 "
1101077,22/9/2017,Wholesale,Business,Balistreri Group,Morocco,Douar Laouamra,Drones,DS303,DTD-7000 Drone,8, $ 450.00 , $ 90.00 ," $ 3,510.00 "
1101078,22/9/2017,Wholesale,Business,Wintheiser Inc.,Morocco,Dar Chaifat,Training Videos,TV809,Understanding 3D Printing,6, $ 42.99 , $ 8.60 , $ 249.34 
1101079,22/9/2017,Wholesale,Business,Kuvalis Group,Algeria,I-n-Amguel,Blueprints,BP110,Sleepy Eye Blueprint,32, $ 11.99 , $ 2.40 , $ 381.28 
1101080,23/9/2017,Wholesale,Business,Waelchi Inc.,Algeria,Tebessa,eBooks,EB521,Understanding Artificial Intelligence,6, $ 19.50 , $ 3.90 , $ 113.10 
1101081,23/9/2017,Wholesale,Business,Hamill Inc.,Iraq,As Samawah,Training Videos,TV806,Mapping with Drones,3, $ 49.00 , $ 9.80 , $ 137.20 
1101082,23/9/2017,Wholesale,Business,Effertz LLC,Morocco,Sidi Yahia,eBooks,EB518,Single Rotor Drones,8, $ 14.99 , $ 3.00 , $ 116.92 
1101083,23/9/2017,Retail,Individual,Myrilla Deehan,Egypt,Cairo,Robot Kits,RK603,BYOR-1500,1, $ 189.00 , 0 , $ 189.00 
1101084,23/9/2017,Retail,Individual,Norry Colleymore,Morocco,Mehdya,eBooks,EB521,Understanding Artificial Intelligence,1, $ 19.50 , 0 , $ 19.50 
1101085,23/9/2017,Wholesale,Business,Wintheiser Inc.,Saudi Arabia,Al Qatif,Blueprints,BP108,Panda Robot Blueprint,10, $ 7.99 , $ 1.60 , $ 78.30 
1101086,23/9/2017,Wholesale,Business,Bashirian International,Morocco,Afourar,eBooks,EB513,Photograph Drones,9, $ 14.99 , $ 3.00 , $ 131.91 
1101087,23/9/2017,Retail,Individual,Timothy Weissnat,Saudi Arabia,Al Wajh,eBooks,EB521,Understanding Artificial Intelligence,1, $ 19.50 , 0 , $ 19.50 
1101088,23/9/2017,Wholesale,Business,Cremin LLC,Egypt,Burj al `Arab,Drones,DS302,DC-304 Drone,25, $ 395.00 , $ 79.00 ," $ 9,796.00 "
1101089,23/9/2017,Wholesale,Business,Lehner Inc.,Algeria,Setif,Blueprints,BP101,All Eyes Drone Blueprint,99, $ 9.99 , $ 2.00 , $ 987.01 
1101090,23/9/2017,Wholesale,Business,Herzog Group,Egypt,Sharunah,Robot Kits,RK606,BYOR-3535,58, $ 223.00 , $ 44.60 ," $ 12,889.40 "
1101091,24/9/2017,Wholesale,Business,Treutel Group,Algeria,Kadiria,Robots,RS707,RXW-9807 Robot,7, $ 599.00 , $ 119.80 ," $ 4,073.20 "
1101092,24/9/2017,Retail,Individual,Harriot Lempenny,Morocco,Ida Ou Moumene,Training Videos,TV812,Understanding Raspberry PI,1, $ 28.99 , 0 , $ 28.99 
1101093,24/9/2017,Wholesale,Business,Stroman Inc.,Morocco,Brikcha,Training Videos,TV806,Mapping with Drones,10, $ 49.00 , $ 9.80 , $ 480.20 
1101094,24/9/2017,Retail,Individual,Denis Whillock,Saudi Arabia,Qal`at Bishah,Robot Kits,RK603,BYOR-1500,1, $ 189.00 , 0 , $ 189.00 
